anchor,jnd,mean,normality,samples,samples_no,sequence_index,standard_deviation,frame
27,31,34.15625,1,"[35, 35, 32, 29, 35, 36, 38, 31, 33, 29, 36, 32, 39, 28, 36, 38, 36, 32, 39, 29, 30, 30, 32, 37, 34, 35, 33, 39, 38, 35, 35, 37]",32,1,3.273642294,30
29,33,35.29032258,1,"[36, 37, 38, 37, 40, 32, 35, 40, 34, 33, 38, 38, 33, 38, 33, 32, 36, 35, 36, 30, 35, 30, 36, 37, 32, 37, 35, 30, 37, 34, 40]",31,2,2.877424177,30
28,31,34.21875,1,"[39, 29, 39, 39, 39, 32, 31, 30, 30, 38, 31, 37, 36, 38, 31, 30, 30, 37, 39, 31, 30, 37, 34, 32, 35, 32, 38, 32, 33, 36, 37, 33]",32,3,3.480214815,30
27,31,33.6875,1,"[31, 31, 35, 33, 33, 38, 31, 37, 36, 31, 33, 37, 30, 39, 31, 38, 33, 37, 39, 29, 33, 39, 36, 28, 31, 35, 33, 38, 28, 29, 38, 28]",32,4,3.622844187,30
29,34,35.75,1,"[31, 35, 37, 38, 35, 36, 34, 33, 39, 38, 37, 38, 39, 39, 36, 39, 30, 34, 31, 32, 35, 34, 37, 36, 39, 39, 30, 34, 35, 39, 40, 35]",32,5,2.896048476,30
29,33,35.53333333,1,"[37, 38, 40, 30, 32, 37, 39, 34, 36, 35, 30, 38, 37, 33, 40, 35, 34, 39, 38, 34, 37, 31, 40, 34, 39, 33, 31, 31, 37, 37]",30,6,3.137463651,30
28,32,33.75,0,"[34, 36, 39, 29, 29, 33, 33, 35, 32, 33, 32, 29, 38, 32, 30, 36, 35, 33, 37, 35, 29, 36, 32, 35, 34, 36, 35, 31, 38, 32, 34, 38]",32,7,2.839809171,30
28,33,35.0625,1,"[38, 33, 37, 39, 35, 35, 39, 35, 35, 32, 31, 38, 36, 39, 33, 31, 34, 36, 37, 38, 34, 32, 33, 33, 34, 31, 33, 39, 39, 31, 39, 33]",32,8,2.793281109,30
29,33,35.375,1,"[35, 39, 40, 35, 33, 38, 39, 38, 40, 34, 34, 31, 32, 34, 33, 31, 33, 38, 36, 30, 36, 37, 35, 38, 32, 30, 33, 37, 39, 40, 33, 39]",32,9,3.128949118,30
27,32,34.28125,1,"[32, 37, 34, 31, 29, 35, 36, 37, 35, 29, 38, 32, 36, 32, 37, 34, 30, 37, 33, 39, 32, 33, 39, 35, 34, 31, 37, 30, 37, 33, 37, 36]",32,10,2.898657921,30
28,34,35.46875,1,"[36, 30, 38, 29, 36, 39, 36, 31, 31, 34, 31, 37, 38, 37, 35, 40, 34, 35, 40, 40, 35, 38, 29, 38, 34, 36, 34, 39, 36, 36, 38, 35]",32,11,3.151900348,30
29,33,35.90625,1,"[36, 39, 32, 37, 35, 36, 34, 32, 39, 30, 39, 34, 30, 40, 39, 37, 35, 35, 34, 39, 36, 39, 39, 30, 34, 37, 31, 33, 38, 40, 40, 40]",32,12,3.246431043,30
28,32,34.1875,1,"[29, 30, 36, 30, 38, 33, 34, 37, 33, 34, 34, 29, 39, 37, 36, 39, 36, 35, 39, 29, 34, 37, 36, 32, 34, 35, 29, 33, 38, 32, 34, 33]",32,13,3.084168733,30
28,33,35.03125,1,"[36, 35, 38, 29, 40, 34, 30, 35, 31, 36, 33, 37, 37, 37, 39, 36, 33, 36, 33, 33, 36, 29, 40, 35, 32, 31, 40, 39, 33, 39, 34, 35]",32,14,3.157013442,30
28,34,36,1,"[37, 34, 36, 38, 40, 34, 37, 34, 40, 40, 34, 39, 34, 35, 33, 35, 38, 35, 31, 33, 34, 32, 39, 30, 37, 32, 36, 40, 40, 40, 39]",31,15,3.011090611,30
29,34,35.875,1,"[36, 36, 35, 34, 40, 39, 38, 35, 35, 32, 36, 40, 35, 39, 39, 34, 40, 39, 31, 32, 34, 31, 35, 32, 30, 40, 35, 36, 34, 38, 38, 40]",32,16,3.024096773,30
28,32,35.25,1,"[32, 38, 39, 38, 38, 33, 33, 31, 29, 36, 32, 38, 31, 39, 38, 35, 34, 39, 30, 34, 35, 29, 38, 37, 37, 39, 29, 32, 38, 39, 39, 39]",32,17,3.519530761,30
27,31,33.71875,1,"[39, 32, 36, 37, 28, 31, 38, 37, 32, 37, 37, 31, 33, 34, 36, 36, 37, 35, 30, 28, 32, 39, 37, 33, 28, 32, 35, 38, 31, 29, 31, 30]",32,18,3.438251384,30
29,34,35.75,1,"[39, 31, 38, 35, 39, 30, 38, 39, 38, 40, 35, 36, 35, 34, 38, 37, 31, 37, 35, 36, 34, 35, 32, 39, 37, 34, 31, 40, 37, 35, 33, 36]",32,19,2.782433375,30
28,34,35.3125,1,"[38, 40, 37, 36, 34, 35, 30, 36, 35, 35, 30, 40, 31, 35, 35, 39, 39, 38, 30, 36, 35, 32, 37, 32, 36, 36, 38, 36, 35, 34, 35, 35]",32,20,2.729025585,30
29,33,35.06666667,1,"[35, 32, 37, 31, 30, 39, 36, 30, 36, 33, 37, 34, 36, 35, 36, 35, 35, 40, 36, 38, 35, 32, 33, 37, 38, 38, 33, 34, 31, 40]",30,21,2.778406059,30
29,34,36.03125,0,"[36, 32, 35, 33, 39, 40, 35, 33, 36, 33, 35, 35, 35, 40, 39, 39, 38, 34, 31, 34, 35, 40, 37, 40, 36, 38, 39, 36, 33, 37, 35, 35]",32,22,2.558784679,30
28,32,34.4375,1,"[34, 32, 32, 30, 38, 39, 37, 33, 39, 35, 37, 35, 29, 38, 36, 29, 37, 34, 29, 33, 39, 32, 37, 33, 30, 39, 34, 33, 37, 36, 31, 35]",32,23,3.181980515,24
